mid,tid,nama_merchant,peruntukkan,jenis,kanwil_no_rek,uker_no_rek,no_rek,cur_balance,kanwil_pemrakarsa,kanwil_nama_pemrakarsa,uker_pemrakarsa,uker_nama_pemrakarsa,user_pemrakarsa,kanwil_implementor,kanwil_nama_implementor,uker_implementor,uker_nama_implementor,group_code,group_name,sub_group_code,sub_group_name,last_available,status_available,last_utility,status_utility,last_transactional,status_transactional,is_mms,is_md_mms,longitude,latitude,sn_edc,merk_edc,versi_app,versi_app_mapped,status_reliability_pemrakarsa,status_reliability_implementor,alamat_merchant,kelurahan,kecamatan,kabupaten,provinsi,kodepos,pic,telp,tgl_pasang,last_pm_date,amt
001006560000,10006601,"PANORAMA FOTO",MERCHANT,RITEL,X,170,01700100XXXXXX,188814697.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00182257|ZULFAHRI NAIM",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-23 14:54:50",3,"2025-09-14 16:37:34",4,"2025-09-14 16:37:34",4,1,1,,,000000021329990,Ingenico,00v2014.1.4.0.2,2014.1.4.0,1,1,"JALAN JENDRAL SUDIRMAN NO. 356","SUKARAMAI KEL","PEKANBARU KOTA","PEKANBARU KOT.",RIAU,28113,EDDY,081XXXXXX,2014-05-22,"2025-09-13 16:18:33",6
001006580000,10006603,"ANDALAS SPORT",MERCHANT,RITEL,X,2115,21150100XXXXXX,814485563.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00182257|ZULFAHRI NAIM",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 17:36:08",2,"2025-10-01 17:35:32",2,"2025-10-01 17:35:32",2,1,1,,,000000021330539,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL. H.IMAM MUNANDAR NO. 177 G","TANGKERANG TIMUR KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28289,AFRIZAL,081XXXXXX,2014-05-16,"2025-09-12 18:18:17",6
001006610000,10006613,METRO,MERCHANT,RITEL,X,1571,15710100XXXXXX,10577346.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-30 16:16:08",2,"2025-09-20 13:31:46",3,"2025-09-20 13:31:46",3,1,1,,,000000021330684,Ingenico,00v2014.1.4.0.2,2014.1.4.0,1,1,"MALL PEKANBARU LT. DASAR E 3 -","KOTA TINGGI KEL","PEKANBARU KOTA","PEKANBARU KOT.",RIAU,28112,BETTY,076132224/076XXXXXX,2014-04-24,"2025-09-18 15:54:51",6
001006610000,10006614,METRO,MERCHANT,RITEL,X,1571,15710100XXXXXX,10577346.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00339965|JONI PRANATA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 18:46:59",2,"2025-09-29 18:46:59",2,"2025-09-29 18:46:59",2,1,1,,,000000021330426,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"MALL PEKANBARU LT. DASAR E 3 -","KOTA TINGGI KEL","PEKANBARU KOTA","PEKANBARU KOT.",RIAU,28112,BETTY,076132224/076XXXXXX,2014-04-24,"2025-09-18 14:33:05",6
001007530000,10006718,"GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,609770524.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00253289|RIKO ARIANTO",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 07:57:52",2,"2025-09-30 18:19:14",2,"2025-09-30 18:19:14",2,1,1,,,0000321-934-078,Primavista,00v2014.1.4.p.1,2014.1.4.p,1,1,"JL.TUANKU TAMBUSAI NO. 299","TANGKERANG BARAT KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28282,"DEVI KRISTON",081366252562/08136XXXXXX,2014-05-08,"2025-09-23 12:17:35",6
001007530000,10006719,"GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,609770524.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00253289|RIKO ARIANTO",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-29 18:45:33",2,"2025-09-29 15:26:36",2,"2025-09-29 15:26:36",2,1,1,,,0000321-934-552,Primavista,00v2014.1.4.p.1,2014.1.4.p,1,1,"JL.TUANKU TAMBUSAI NO. 299","TANGKERANG BARAT KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28282,"DEVI KRISTON",081366252562/08136XXXXXX,2014-05-08,"2025-09-23 12:38:08",6
001007530000,10006720,"GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,609770524.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00253289|RIKO ARIANTO",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 07:55:46",2,"2025-09-30 14:16:50",2,"2025-09-30 14:16:50",2,1,1,,,0000321-931-456,Primavista,00v2014.1.4.p.1,2014.1.4.p,2,2,"JL.TUANKU TAMBUSAI NO. 299","TANGKERANG BARAT KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28282,"DEVI KRISTON",081366252562/08136XXXXXX,2014-05-08,"2025-09-23 12:33:21",6
001007530000,10006725,"GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,609770524.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00253289|RIKO ARIANTO",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-09-28 16:46:55",2,"2025-09-28 14:50:10",2,"2025-09-28 14:50:10",2,1,1,,,0000283-512-757,Primavista,00v2014.1.4.p.1,2014.1.4.p,2,2,"JL.TUANKU TAMBUSAI NO. 299","TANGKERANG BARAT KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28282,"DEVI KRISTON",081366252562/08136XXXXXX,2014-05-08,"2025-09-23 12:06:12",6
001007530000,10006726,"GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,609770524.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00253289|RIKO ARIANTO",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 20:32:16",2,"2025-10-01 17:31:54",2,"2025-10-01 17:31:54",2,1,1,,,0000283-512-753,Primavista,00v2014.1.4.p.1,2014.1.4.p,1,1,"JL.TUANKU TAMBUSAI NO. 299","TANGKERANG BARAT KEL","BUKIT RAYA","PEKANBARU KOT.",RIAU,28282,"DEVI KRISTON",081366252562/08136XXXXXX,2014-05-08,"2025-09-23 12:25:16",6
001007530001,10016874,"PT.GLOBAL BANGUNAN",MERCHANT,"FMS RITEL",X,170,01700100XXXXXX,344407200.00,X,"KANWIL PEKANBARU",170,"KC Pekanbaru Sudirman","00189989|RISSA NITALEA",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI",X,"KANWIL PEKANBARU",PCS,"PT. PASIFIK CIPTA SOLUSI","2025-10-01 20:52:33",2,"2025-09-30 18:31:19",2,"2025-09-30 18:31:19",2,1,1,,,000000021941041,Ingenico,00v2014.1.5.0.2,2014.1.5.0,1,1,"JL. HR.SOEBRANTAS","TAMPAN DS",TAMPAN,"PEKANBARU KOT.",RIAU,28292,"DEVI KRISTON",0761572367/076XXXXXX,2014-08-11,"2025-09-12 14:34:13",6
